event_id,family,year,era,entry,stop,cost,stop_usd,rl,rs
CPI_2015-09-16,CPI,2015,2013-19,m60,10.0,base,10.0,-0.00425326499998846,-0.10895326500001375
NFP_2015-10-02,NFP,2015,2013-19,m60,10.0,base,10.0,0.8344951649999757,-1.0747548350000442
CPI_2015-10-15,CPI,2015,2013-19,m60,10.0,base,10.0,-0.30479021499998,0.12940978500002984
NFP_2015-11-06,NFP,2015,2013-19,m60,10.0,base,10.0,-1.2323762499999702,1.5002237500000093
CPI_2015-11-17,CPI,2015,2013-19,m60,10.0,base,10.0,-0.31986640999996324,0.17163359000001038
NFP_2015-12-04,NFP,2015,2013-19,m60,10.0,base,10.0,-0.4439335500000425,0.31076644999996006
CPI_2015-12-15,CPI,2015,2013-19,m60,10.0,base,10.0,-0.22685406499999772,0.08434593499996482
NFP_2016-01-08,NFP,2016,2013-19,m60,10.0,base,10.0,-0.23418189999999867,0.04381810000002133
CPI_2016-01-20,CPI,2016,2013-19,m60,10.0,base,10.0,0.04655718000001343,-0.1687428200000113
NFP_2016-02-05,NFP,2016,2013-19,m60,10.0,base,10.0,-0.04228359500000352,-0.11528359500000533
CPI_2016-02-19,CPI,2016,2013-19,m60,10.0,base,10.0,-0.12298761000001832,-0.037187609999978125
NFP_2016-03-04,NFP,2016,2013-19,m60,10.0,base,10.0,-0.5907158000000209,0.4202842000000146
CPI_2016-03-16,CPI,2016,2013-19,m60,10.0,base,10.0,-0.2814303050000035,0.13636969500003032
NFP_2016-04-01,NFP,2016,2013-19,m60,10.0,base,10.0,-0.48242234499996356,0.3253776549999884
CPI_2016-04-14,CPI,2016,2013-19,m60,10.0,base,10.0,0.08930140999998457,-0.23899858999998286
NFP_2016-05-06,NFP,2016,2013-19,m60,10.0,base,10.0,0.8980631399999766,-1.0792868600000247
CPI_2016-05-17,CPI,2016,2013-19,m60,10.0,base,10.0,-0.21701649499998438,0.07878350500002398
NFP_2016-06-03,NFP,2016,2013-19,m60,10.0,base,10.0,0.9220591399999876,-1.1752408600000308
NFP_2016-07-08,NFP,2016,2013-19,m60,10.0,base,10.0,-1.2175791600000139,1.8282708399999819
CPI_2016-07-15,CPI,2016,2013-19,m60,10.0,base,10.0,-0.44869180499997585,0.30540819500001815
NFP_2016-08-05,NFP,2016,2013-19,m60,10.0,base,10.0,-1.2169584350000378,0.7229415650000192
CPI_2016-08-16,CPI,2016,2013-19,m60,10.0,base,10.0,0.21036831000001258,-0.35863168999997014
NFP_2016-09-02,NFP,2016,2013-19,m60,10.0,base,10.0,-1.2561835050000127,-1.2642835049999803
CPI_2016-09-16,CPI,2016,2013-19,m60,10.0,base,10.0,-0.2911914999999681,0.1339085000000068
NFP_2016-10-07,NFP,2016,2013-19,m60,10.0,base,10.0,0.3935117499999933,-1.0669382499999984
CPI_2016-10-18,CPI,2016,2013-19,m60,10.0,base,10.0,0.14289808500002438,-0.2661019150000129
NFP_2016-11-04,NFP,2016,2013-19,m60,10.0,base,10.0,-0.13197585499995057,-0.03387585499997385
CPI_2016-11-17,CPI,2016,2013-19,m60,10.0,base,10.0,-0.19321164500001942,0.03968835499999841
NFP_2016-12-02,NFP,2016,2013-19,m60,10.0,base,10.0,-0.23176399999995284,0.02293600000000424
CPI_2016-12-15,CPI,2016,2013-19,m60,10.0,base,10.0,-0.051440164999985424,-0.07414016499999435
NFP_2017-01-06,NFP,2017,2013-19,m60,10.0,base,10.0,-0.18278909999999088,0.01121090000001459
CPI_2017-01-18,CPI,2017,2013-19,m60,10.0,base,10.0,-0.06797761499999525,-0.05207761499998469
NFP_2017-02-03,NFP,2017,2013-19,m60,10.0,base,10.0,0.30368988999996416,-0.46391010999998344
NFP_2017-03-10,NFP,2017,2013-19,m60,10.0,base,10.0,-0.2769369549999965,0.0775630450000108
CPI_2017-03-15,CPI,2017,2013-19,m60,10.0,base,10.0,-0.14315348500001618,0.038546515000007275
NFP_2017-04-07,NFP,2017,2013-19,m60,10.0,base,10.0,0.5178574499999968,-0.6531425499999841
NFP_2017-05-05,NFP,2017,2013-19,m60,10.0,base,10.0,-0.2876621299999897,0.16043786999998702
CPI_2017-05-12,CPI,2017,2013-19,m60,10.0,base,10.0,0.059372239999970586,-0.1845277600000145
NFP_2017-06-02,NFP,2017,2013-19,m60,10.0,base,10.0,0.2759191000000101,-0.39218090000001665
CPI_2017-06-14,CPI,2017,2013-19,m60,10.0,base,10.0,0.41624639499998467,-0.5419536050000033
NFP_2017-07-07,NFP,2017,2013-19,m60,10.0,base,10.0,-0.22232285000000046,0.0918771500000048
CPI_2017-07-14,CPI,2017,2013-19,m60,10.0,base,10.0,0.5464801850000185,-0.6709198149999793
NFP_2017-08-04,NFP,2017,2013-19,m60,10.0,base,10.0,-0.7010810600000014,0.5537189399999989
CPI_2017-08-11,CPI,2017,2013-19,m60,10.0,base,10.0,0.3727384900000061,-0.5120615099999896
NFP_2017-09-01,NFP,2017,2013-19,m60,10.0,base,10.0,0.6646976849999874,-0.8019023149999839
CPI_2017-09-14,CPI,2017,2013-19,m60,10.0,base,10.0,-0.649334500000009,0.5296654999999874
NFP_2017-10-06,NFP,2017,2013-19,m60,10.0,base,10.0,-0.2908372650000047,0.1644627349999837
CPI_2017-10-13,CPI,2017,2013-19,m60,10.0,base,10.0,0.286628799999994,-0.4038711999999805
