event_id,family,t0_utc,year,U,sl_usd,R_long,R_short,R_long_cons,R_short_cons,stop_long,stop_short,a_move,a_range,a_spread_m10,unit_atr_m1_60,range_over_atr
NFP_2008-02-01,NFP,2008-02-01 13:30:00+00:00,2008,2.8846500123670653,1.7307900074202391,0.5025343896550819,-1.5086859115231424,0.13019748151654612,-1.6880473584166689,False,True,1.8790000000001328,1.9420000000000073,0.5059999999999718,0.38083333333332803,5.099343544857859
CPI_2008-02-20,CPI,2008-02-20 13:30:00+00:00,2008,0.44512681975093144,0.26707609185055886,-4.598900603529981,-4.097170931392649,-7.7647129910841395,-7.2629833189463815,True,True,-0.2640000000001237,0.4920000000000755,0.3100000000000591,0.37306666666665744,1.3187991422446952
NFP_2008-03-07,NFP,2008-03-07 13:30:00+00:00,2008,2.8323035750908137,1.6993821450544881,-1.345596225460315,0.31559576023602975,-1.7706709516497048,-0.06534527876679234,True,False,-1.38799999999992,1.9079999999999018,0.55600000000004,0.446950000000002,4.268933885221822
CPI_2008-03-14,CPI,2008-03-14 12:30:00+00:00,2008,0.40329443596594244,0.24197666157956546,-4.973594941527748,-6.304301786965089,-8.932604020115912,-10.263310865552784,True,True,0.0039999999999054126,0.32999999999992724,0.5059999999999718,0.3210999999999994,1.0277172220489812
NFP_2008-04-04,NFP,2008-04-04 12:30:00+00:00,2008,1.4339354048140747,0.8603612428884447,-0.528133506426369,-1.7752840596029087,-2.6339596521017965,-2.7013731955167373,False,True,0.6230000000000473,0.6230000000000473,0.5060000000000855,0.2812000000000088,2.2155049786629726
CPI_2008-04-16,CPI,2008-04-16 12:30:00+00:00,2008,0.3329104757617394,0.19974628545704362,-6.332119754347515,-7.813999626719299,-11.211483582164927,-12.69336345453728,True,True,0.8239999999999554,0.8239999999999554,0.5539999999999736,0.2790166666666759,2.953228600441771
NFP_2008-05-02,NFP,2008-05-02 12:30:00+00:00,2008,1.491663973804479,0.8949983842826874,-1.7355686080316022,-0.14785624457416954,-2.5877066826841553,-2.507259610081231,True,False,-0.9330000000001064,0.9330000000001064,0.5059999999999718,0.318450000000009,2.929816297692197
CPI_2008-05-14,CPI,2008-05-14 12:30:00+00:00,2008,0.41457730220625055,0.24874638132375032,-5.896997947040565,-5.406538550804024,-9.759220162645832,-9.268760766409748,True,True,1.4069999999999254,1.4069999999999254,0.5539999999999736,0.33008333333333817,4.262559959605872
NFP_2008-06-06,NFP,2008-06-06 12:30:00+00:00,2008,1.474774359547986,0.8848646157287916,1.5769570567027311,-1.8235631432399138,0.777724058310727,-2.8804626772208453,False,True,2.2819999999999254,3.8199999999999363,0.5040000000000191,0.34546666666667153,11.057506754148637
CPI_2008-06-13,CPI,2008-06-13 12:30:00+00:00,2008,0.4290053609722025,0.2574032165833215,-4.679574389118869,-5.821751258166715,-8.300644134757528,-9.442821003805374,True,True,-0.7429999999999382,0.9770000000000891,0.5060000000000855,0.32530000000000237,3.0033814940057857
NFP_2008-07-03,NFP,2008-07-03 12:30:00+00:00,2008,2.3996842637149585,1.439810558228975,-0.9052568010080844,-0.6371659762852888,-1.389206995717689,-1.1211161709949724,False,False,-0.19299999999998363,0.4539999999999509,0.5059999999999718,0.5123000000000104,0.8861994924847583
