group,model,features,adapt,tau,n_trades,trade_share,mean_R,t,win_rate,avg_win_R,avg_loss_R,pf,total_R,max_dd_R,worst_R,max_loss_streak,cvar10_R
CPI,ridge,PRICE,expanding,0.0,35,0.546875,-0.23410864857143376,-3.3374902899184247,0.2,0.30009057261904243,-0.3676584538690529,0.2040552647851831,-8.193802700000182,8.558973783333498,-1.0,6.0,-1.0
CPI,ridge,PRICE,expanding,0.1,27,0.421875,-0.3031899209876594,-3.937765303270266,0.14814814814814814,0.2683590854166577,-0.40258974818841015,0.11592730689210604,-8.186127866666803,8.55129895000012,-1.0,9.0,-1.0
CPI,ridge,PRICE,expanding,0.2,10,0.15625,-0.2754125716666711,-1.9621354217871843,0.1,0.6487116999999974,-0.37809304629630097,0.19063846448339897,-2.754125716666711,3.1192968000000287,-1.0,8.0,-1.0
CPI,ridge,PRICE,expanding,0.3,6,0.09375,-0.18213210833332974,-0.9246943628227752,0.16666666666666666,0.6487116999999974,-0.3483008699999952,0.37250076349221084,-1.0927926499999785,1.741504349999976,-0.8046818333333476,5.0,-0.8046818333333476
CPI,ridge,PRICE,rolling5y,0.0,41,0.640625,-0.24984385406504148,-3.826720550092243,0.1951219512195122,0.30970677812499525,-0.385492492171717,0.19476496322309814,-10.2435980166667,10.608769100000016,-1.0,10.0,-1.0
CPI,ridge,PRICE,rolling5y,0.1,26,0.40625,-0.24904448429487488,-3.2206853889364124,0.19230769230769232,0.2830460966666578,-0.37573271785714457,0.1793613507019594,-6.475156591666747,6.840327675000065,-1.0,8.0,-1.0
CPI,ridge,PRICE,rolling5y,0.2,13,0.203125,-0.15703361474359162,-1.5787594015401085,0.23076923076923078,0.3648472416666537,-0.3135978716666652,0.34902715352717384,-2.041436991666691,2.5419136000000058,-0.8046818333333476,5.0,-0.8046818333333476
CPI,ridge,PRICE,rolling5y,0.3,4,0.0625,-0.20888478750000178,-0.6802312618735842,0.25,0.6487116999999974,-0.4947502833333349,0.4370633845350302,-0.8355391500000071,1.4842508500000045,-0.8046818333333476,3.0,-0.8046818333333476
CPI,ridge,PRICE,decay3y,0.0,38,0.59375,-0.19572205855263192,-2.8832654066825287,0.21052631578947367,0.36066181874999853,-0.3440910925000001,0.2795087902486159,-7.437438225000013,7.802609308333332,-1.0,9.0,-1.0
CPI,ridge,PRICE,decay3y,0.1,19,0.296875,-0.25853732280702707,-2.905806912635716,0.15789473684210525,0.27144926666665015,-0.3579098083333416,0.14220548393743349,-4.912209133333515,5.277380216666833,-1.0,9.0,-1.0
CPI,ridge,PRICE,decay3y,0.2,8,0.125,-0.33854403333333494,-1.9725804294782612,0.125,0.6487116999999974,-0.47958056666666815,0.19323781329198844,-2.7083522666666795,3.357063966666677,-1.0,7.0,-1.0
CPI,ridge,PRICE,decay3y,0.3,5,0.078125,-0.21477986333332716,-0.9028365486649313,0.2,0.6487116999999974,-0.4306527541666583,0.37658629471399624,-1.0738993166666357,1.722611016666633,-0.8046818333333476,4.0,-0.8046818333333476
CPI,ridge,PRICE+MACRO,expanding,0.0,44,0.6875,-0.17335647007575886,-2.851120047941338,0.3409090909090909,0.23272012777778045,-0.38339608965517574,0.31396376523641956,-7.62768468333339,8.050657241666652,-1.0,5.0,-1.0
CPI,ridge,PRICE+MACRO,expanding,0.1,29,0.453125,-0.14145470000000293,-1.7684623161342798,0.3448275862068966,0.27559511916665547,-0.36095460482456,0.4018512599106282,-4.102186300000085,5.523341366666613,-1.0,4.0,-1.0
CPI,ridge,PRICE+MACRO,expanding,0.2,17,0.265625,-0.16752059754902554,-1.4450547097086148,0.35294117647058826,0.3027109597222067,-0.42401053787878856,0.3894126541415976,-2.847850158333434,4.052139574999994,-1.0,4.0,-1.0
CPI,ridge,PRICE+MACRO,expanding,0.3,10,0.15625,-0.18812008666668215,-1.0053525074223661,0.4,0.373894249999978,-0.5627963111111222,0.44290061681676973,-1.8812008666668214,3.376777866666733,-1.0,6.0,-1.0
CPI,ridge,PRICE+MACRO,rolling5y,0.0,40,0.625,-0.1624684631250024,-2.1997628080859233,0.375,0.2741659372222178,-0.42444910333333463,0.3875601598435784,-6.498738525000096,7.2447044583331035,-1.0,4.0,-1.0
CPI,ridge,PRICE+MACRO,rolling5y,0.1,24,0.375,-0.12940008472222864,-1.3903040622097769,0.4583333333333333,0.258205941666657,-0.45737441474359347,0.47768730300207024,-3.1056020333334873,4.578236708333255,-1.0,2.0,-1.0
CPI,ridge,PRICE+MACRO,rolling5y,0.2,15,0.234375,-0.16806748722222234,-1.1565140238826606,0.4666666666666667,0.3580059083333254,-0.6283817083333265,0.49851096178867893,-2.521012308333335,4.263498508333251,-1.0,3.0,-1.0
CPI,ridge,PRICE+MACRO,rolling5y,0.3,9,0.140625,-0.14007094629630923,-0.7536882380647841,0.4444444444444444,0.373894249999978,-0.551243103333339,0.5426197592155744,-1.260638516666783,2.756215516666695,-1.0,5.0,-1.0
CPI,ridge,PRICE+MACRO,decay3y,0.0,42,0.65625,-0.1681128831349212,-2.6436868729767204,0.35714285714285715,0.23272012777778045,-0.3907978891975332,0.3308333116691788,-7.06074109166669,7.776540041666445,-1.0,5.0,-1.0
CPI,ridge,PRICE+MACRO,decay3y,0.1,25,0.390625,-0.13821845866666838,-1.4874019028489611,0.4,0.27559511916665547,-0.41409417722221764,0.44369153093848235,-3.4554614666667094,5.173773474999923,-1.0,4.0,-1.0
CPI,ridge,PRICE+MACRO,decay3y,0.2,13,0.203125,-0.15068023782052295,-1.0150333208890663,0.46153846153846156,0.3027109597222067,-0.5393012642857198,0.4811161294947089,-1.9588430916667983,3.45442009166671,-1.0,3.0,-1.0
CPI,ridge,PRICE+MACRO,decay3y,0.3,10,0.15625,-0.22606385166667833,-1.2079107224693726,0.4,0.373894249999978,-0.6260359194444493,0.3981605936517462,-2.2606385166667833,3.756215516666695,-1.0,6.0,-1.0
CPI,ridge,PRICE+RATES,expanding,0.0,43,0.671875,-0.19155736996124642,-3.1220045367244973,0.32558139534883723,0.2058421672618947,-0.38340542241379727,0.25918277347645974,-8.236966908333596,8.236966908333596,-1.0,5.0,-1.0
CPI,ridge,PRICE+RATES,expanding,0.1,30,0.46875,-0.18209597361111743,-2.313512773233688,0.3333333333333333,0.23820096083331924,-0.39224444083333576,0.30363841527907154,-5.462879208333523,5.828050291666841,-1.0,4.0,-1.0
CPI,ridge,PRICE+RATES,expanding,0.2,22,0.34375,-0.1862289579545525,-1.9565154590314677,0.36363636363636365,0.2300497218749958,-0.4241024892857229,0.30996513165949585,-4.097037075000155,4.748264141666823,-1.0,3.0,-1.0
CPI,ridge,PRICE+RATES,expanding,0.3,15,0.234375,-0.21580422166667731,-2.3755905112687588,0.2,0.23345717499998705,-0.3281195708333434,0.17787507645997994,-3.2370633250001597,3.23706332500016,-1.0,4.0,-1.0
CPI,ridge,PRICE+RATES,rolling5y,0.0,38,0.59375,-0.2137922962719372,-2.872322802908129,0.2894736842105263,0.2989329886363521,-0.4226803753086476,0.2881314605627316,-8.124107258333613,8.124107258333613,-1.0,4.0,-1.0
CPI,ridge,PRICE+RATES,rolling5y,0.1,27,0.421875,-0.1851848438271634,-2.1827125715490663,0.3333333333333333,0.25857916296294864,-0.4070668472222194,0.31761265345908807,-4.999990783333412,5.36516186666673,-1.0,4.0,-1.0
CPI,ridge,PRICE+RATES,rolling5y,0.2,18,0.28125,-0.197791921759273,-1.7783113428129491,0.3888888888888889,0.22774094285712396,-0.4685855628787983,0.3092840796354801,-3.5602545916669137,3.605566433333517,-1.0,4.0,-1.0
CPI,ridge,PRICE+RATES,rolling5y,0.3,11,0.171875,-0.2745605469697032,-1.8871131054607613,0.36363636363636365,0.19162969583332295,-0.5409549714285753,0.20242476567716602,-3.0201660166667352,3.0201660166667357,-1.0,3.0,-1.0
CPI,ridge,PRICE+RATES,decay3y,0.0,42,0.65625,-0.2170445323412764,-3.4201088472768926,0.30952380952380953,0.21746101538460552,-0.41182288132184414,0.23670982978175742,-9.11587035833361,9.115870358333607,-1.0,5.0,-1.0
CPI,ridge,PRICE+RATES,decay3y,0.1,28,0.4375,-0.1895251464285785,-2.2568844146191385,0.32142857142857145,0.25857916296294864,-0.401785082456144,0.3048517030993291,-5.306704100000198,5.671875183333516,-1.0,4.0,-1.0
CPI,ridge,PRICE+RATES,decay3y,0.2,18,0.28125,-0.29369834351852986,-2.589980523284561,0.2777777777777778,0.23714419333331685,-0.49786855000000946,0.1831995717106394,-5.286570183333538,5.286570183333538,-1.0,5.0,-1.0
CPI,ridge,PRICE+RATES,decay3y,0.3,9,0.140625,-0.3268083453703841,-2.670712620035411,0.1111111111111111,0.11538599999998193,-0.3820826385416799,0.037749032657039626,-2.941275108333457,2.9412751083334574,-1.0,6.0,-1.0
CPI,ridge,PRICE+DXYFX,expanding,0.0,37,0.578125,-0.2336757164414455,-3.5177031712256426,0.1891891891891892,0.3378472535714212,-0.36703107611111446,0.21478024876963395,-8.646001508333484,9.0111725916668,-1.0,9.0,-1.0
CPI,ridge,PRICE+DXYFX,expanding,0.1,26,0.40625,-0.24603566346154482,-3.4309112762310257,0.15384615384615385,0.3209868312499869,-0.34913066250000513,0.16716160542172748,-6.396927250000165,6.762098333333484,-1.0,10.0,-1.0
CPI,ridge,PRICE+DXYFX,expanding,0.2,14,0.21875,-0.2204314767857151,-2.5091327443990243,0.07142857142857142,0.6487116999999974,-0.2872886442307699,0.17369604055744017,-3.086040675000011,3.451211758333329,-0.8046818333333476,12.0,-0.8046818333333476
CPI,ridge,PRICE+DXYFX,expanding,0.3,5,0.078125,-0.3638330866666669,-3.025900457074356,0.0,0.0,-0.3638330866666669,0.0,-1.8191654333333345,1.8191654333333345,-0.8046818333333476,5.0,-0.8046818333333476
CPI,ridge,PRICE+DXYFX,rolling5y,0.0,38,0.59375,-0.263464269078947,-3.897046910695963,0.15789473684210525,0.3850222722222157,-0.38505549557291496,0.18748382212868606,-10.011642224999985,10.3768133083333,-1.0,10.0,-1.0
CPI,ridge,PRICE+DXYFX,rolling5y,0.1,26,0.40625,-0.20620120384615476,-2.3188153339537476,0.23076923076923078,0.3850222722222157,-0.3835682466666659,0.3011372361253981,-5.361231300000024,5.726402383333342,-1.0,6.0,-1.0
CPI,ridge,PRICE+DXYFX,rolling5y,0.2,12,0.1875,-0.16207354791666578,-1.5007845558473958,0.25,0.3648472416666537,-0.3377138111111056,0.3601148168092158,-1.9448825749999894,2.4453591833333044,-0.8046818333333476,4.0,-0.8046818333333476
CPI,ridge,PRICE+DXYFX,rolling5y,0.3,4,0.0625,-0.2669268229166638,-1.1309604106398978,0.25,0.3304440249999819,-0.46605043888887904,0.23634353525325189,-1.0677072916666552,1.2030128166666525,-0.8046818333333476,2.0,-0.8046818333333476
CPI,ridge,PRICE+DXYFX,decay3y,0.0,32,0.5,-0.19034634114583684,-2.74916462271842,0.1875,0.3850222722222157,-0.32312371346154123,0.2749760846639853,-6.091082916666779,6.456254000000095,-1.0,8.0,-0.9348939444444492
CPI,ridge,PRICE+DXYFX,decay3y,0.1,20,0.3125,-0.28469183291667266,-3.4701456059602553,0.1,0.3494808999999843,-0.3551554699074123,0.10933581037406663,-5.693836658333454,6.059007741666772,-1.0,15.0,-1.0
CPI,ridge,PRICE+DXYFX,decay3y,0.2,9,0.140625,-0.30391470925926317,-1.9778137884364198,0.1111111111111111,0.6487116999999974,-0.42299301041667076,0.19170284260754739,-2.7352323833333685,3.1004034666666858,-1.0,7.0,-1.0
CPI,ridge,PRICE+DXYFX,decay3y,0.3,3,0.046875,-0.4930277833333195,-3.085784401717247,0.0,0.0,-0.4930277833333195,0.0,-1.4790833499999585,1.4790833499999585,-0.8046818333333476,3.0,-0.8046818333333476
CPI,ridge,PRICE+VOLRISK,expanding,0.0,39,0.609375,-0.19858522606837709,-3.433318797052359,0.2564102564102564,0.21496907250000277,-0.3411901566091977,0.21726085862499644,-7.744823816666706,8.109994900000023,-1.0,7.0,-1.0
CPI,ridge,PRICE+VOLRISK,expanding,0.1,24,0.375,-0.23318831354166983,-2.963492379391173,0.20833333333333334,0.273652298333324,-0.36656742192982616,0.19645434485195945,-5.596519525000076,5.961690608333395,-1.0,6.0,-1.0
